Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"Global Security Solutions, Inc.",2024-09-06,2024-05-29,2024-08-21,"9720 Kings Hwy  Brooklyn, NY, 11212",Kings,Layoff,Temporary,Contract Loss,21,30,30
"GNCAS Logistics, LLC, at Amazon station DBU3",2024-09-29,2024-07-01,2024-07-03,"2 Westbury Avenue  Carle Place, NY, 11514",Nassau,Closure,Permanent,Relocation of Business,8,57,57
Google,2024-04-01,2024-01-02,2024-01-23,"29 Eleventh Avenue Pier 57  New York, NY, 10011",New York,Layoff,Permanent,Economic,119,3,3
Google,2024-04-01,2024-01-02,2024-01-23,"75 Ninth Avenue  New York, NY, 10011",New York,Layoff,Permanent,Economic,120,30,30
Google,2024-04-01,2024-01-02,2024-01-23,"76 Ninth Avenue  New York, NY, 10011",New York,Layoff,Permanent,Economic,121,181,181
Google,2024-04-01,2024-01-02,2024-01-23,"85 Tenth Avenue  New York, NY, 10011",New York,Layoff,Permanent,Economic,122,11,11
"GRO Intelligence, Inc.",2024-03-01,2024-03-11,2024-03-13,"505 Park Ave. 12th Floor New York, NY, 10022",New York,Layoff,Permanent,Economic,89,75,75
"GXO Warehouse Company, Inc.",2024-12-31,2024-10-01,2024-10-02,"100 Horseshoe Blvd.  Avon, NY, 14414",Livingston,Closure,Permanent,Contract Expiration,6,41,41
Hardinge Inc.,2024-08-09,2024-07-26,2024-08-02,"1 Hardinge Drive  Elmira, NY, 14903",Chemung,Closure,Permanent,Bankruptcy,1,0,0
"HITPS, LLC.",2024-12-31,2024-10-01,2024-10-02,"2 Park Avenue South, 10th Floor  New York, NY, 10016",New York,Closure,Permanent,Economic,19,65,65
"HTx Services, L.L.C.",2025-03-31,2024-12-27,2025-01-02,"1 Fairchild Court Suite 200 Plainview, NY, 11803",Nassau,Closure,Permanent,Economic,4,86,86
Huntington Ingalls Incorporated's Newport News Shipbuilding Division (NNS),2024-05-17,2024-02-02,2024-02-02,"350 Atomic Project Rd  Ballston Spa, NY, 12020",Saratoga,Layoff,Permanent,Contract Termination,9,118,118
"ImmunityBio, Inc.",2024-11-25,2024-09-26,2024-09-30,"3085 Lake Shore Drive East  Dunkirk, NY, 14048",Chautauqua,Layoff,Permanent,Economic,20,2,2
"IPRO (Island Peer Review Organization, Inc.)",2024-09-30,2024-07-15,2024-07-17,"20 Corporate Woods Blvd. 1st Floor Albany, NY, 12211",Albany,Closure,N/A,Contract Expiration,7,1,1
