state,employer_name,normalized_name,canonical_name,industry,naics,naics_basis,cik,ticker,cik_match,sic,sic_description,ein,ntee,lei,wikidata_qid,wikidata_match,parent_company,parent_cik,identity_source,employer_key,place_name,place_fips,county_name,county_fips,latitude,longitude,geo_basis,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
UT,General Dynamics IT,general dynamics it,General Dynamics,,,,40533,GD,fuzzy:0.97,3730,Ship & Boat Building & Repairing,,,,Q502940,cik,,,automatic,qid:Q502940,Sandy city,4967440,Salt Lake County,49035,40.571714,-111.84987,place,Sandy,2014-02-27,,621,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,4cedf9f9769df731e27292932355f4974af16c07f4c3b78853da89d4,8cc389f02a8f4eddb68b195ae1f3d2e9502e06ca,2026-07-16,2026-07-19
UT,General Dynamics IT,general dynamics it,General Dynamics,,,,40533,GD,fuzzy:0.97,3730,Ship & Boat Building & Repairing,,,,Q502940,cik,,,automatic,qid:Q502940,Sandy city,4967440,Salt Lake County,49035,40.571714,-111.84987,place,Sandy,2014-03-05,,645,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,4ade30e826b1e3bcbcf7cffd56fdb4cf590fe96db2e053d479b0b5f0,d66232bd29b4bbe10cbba401c2f8be44427c3331,2026-07-16,2026-07-19
UT,CenturyLink,centurylink,Lumen Technologies,,5133,sic-crosswalk,18926,LUMN,exact,4813,Telephone Communications (No Radiotelephone),,,,Q5063092,cik,,,automatic,qid:Q5063092,Logan city,4945860,Cache County,49005,41.740256,-111.841764,place,Logan,2014-03-18,,97,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,fb3f7f39b4b0e05116d3d9a46efab15fef7bdb9d68b364fb566edd21,b207251eb5b70eb78a11eea49be153df47830961,2026-07-16,2026-07-19
UT,SuperValu Inc.,supervalu,SuperValu,,42241,sic-crosswalk,95521,,exact,5141,"Wholesale-Groceries, General Line",,,,Q682047,cik,United Natural Foods,,automatic,qid:Q682047,Salt Lake City city,4967000,Salt Lake County,49035,40.776928,-111.930991,place,Salt Lake City,2014-03-25,,66,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,a6c01dcc82c16b340c889268e8fa9086d9e858f550f6d6e745c0444d,464f6a01520e45faf6df679284cdc3dde7e674f5,2026-07-16,2026-07-19
UT,Aramark at Hertz SLC,aramark at hertz slc,,,,,,,,,,,,,,,,,,n:aramark at hertz slc,Salt Lake City city,4967000,Salt Lake County,49035,40.776928,-111.930991,place,Salt Lake City,2014-04-04,,83,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,3bd041a377ee2b475c480018d5a6c5d6810c967716bb2635703fe604,70cd314aa3264f35283f6976a8d26aee73f11707,2026-07-16,2026-07-19
UT,Remington,remington,,,,,1346095,,suffix,,,,,,,,,,automatic,cik:1346095,West Jordan city,4982950,Salt Lake County,49035,40.602666,-112.001255,place,West Jordan,2014-04-14,,31,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,7705df71e638ea5242b002239700e05440ea2c0dde81ccfa375e16ee,a019a057c60d56db9a54c31e0ee09346e314bac6,2026-07-16,2026-07-19
UT,Xerox Business Services,xerox business services,,,,,,,,,,,,,,,,,,n:xerox business services,Salt Lake City city,4967000,Salt Lake County,49035,40.776928,-111.930991,place,Salt Lake City,2014-07-28,,279,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,bf5f4fffee8332ecedfe770b5eb00b8b912da4aa142c0358fb2e27dd,b3ee44a6b0dbe068185d1a818f476edca06e502c,2026-07-16,2026-07-19
UT,Community Development Institute â Head Start,community development institute head start,,,,,,,,,,,,,,,,,,n:community development institute head start,,,,,,,,"Honeyville, Genola, Providence, & Midvale",2014-08-28,,167,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,be08ff02ebafd7b13b0b2eff73c0c6cc08379511097c83434ae1a767,d5b8b92edebcaa9d7e3b1ad0583110b5dc4869bb,2026-07-16,2026-07-19
UT,"Wells Enterprises, Inc.",wells enterprises,,,,,,,,,,,,,,,,,,n:wells enterprises,St. George city,4965330,Washington County,49053,37.077006,-113.576534,place,St. George,2014-09-02,,90,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,507f06bfe3edb8e771f55589f14abe9bb93055a66c06c42140fabc55,ac641256ff62a70208373fd8b39ccb8b028f3f18,2026-07-16,2026-07-19
UT,Devcon Security Services Corp & ADT LLC,devcon security services corp adt,,,,,,,,,,,,,,,,,,n:devcon security services corp adt,Lindon city,4945090,Utah County,49049,40.341998,-111.717267,place,Lindon,2014-09-12,,60,unknown,,0,0,1,https://jobs.utah.gov/employer/business/warnnotices.html,542e7539ba3cb040ad5aa28b7d56d01523996ea58b7f1713854afa48,f20d27d001b1822be29d09655600be3685e5a27a,2026-07-16,2026-07-19
