state,employer_name,normalized_name,industry,naics,naics_basis,cik,ticker,cik_match,sic,sic_description,wikidata_qid,parent_company,location,notice_date,effective_date,employees_affected,layoff_type,is_temporary,is_amendment,is_amended,current_version,source_url,source_notice_id,dedupe_key,first_seen,last_seen
AK,First Student,first student,,,,,,,,,,,"Fairbanks, North Pole",2021-04-30,2021-06-30,185,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,41b9e403f0796fb06837c587105309a1c39f153de57dfdafb0eb5274,7d6cda514f57fc32ab618fc9c2458b5307138d10,2026-07-16,2026-07-19
AK,Kakivik Asset Mgmt,kakivik asset mgmt,,,,,,,,,,,Prudhoe Bay,2021-07-02,2021-08-31,134,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,f519e89955ceeec4371bfe849c2437f09a03a58e9572860b5a7f0ae0,23853b68a8bbadb1ff04ad693e4e55becb24bb31,2026-07-16,2026-07-19
AK,Bean’s Cafe,bean s cafe,,,,,,,,,,,Anchorage,2021-09-16,2021-09-15,40,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,590434fbc5a757b1bdf60bb05e428418b18b1040bbf7aadbdbefe98a,0987095e95386f4d8f86fe2e6dd0e0d38bd0078b,2026-07-16,2026-07-19
AK,First Student,first student,,,,,,,,,,,Matanuska-Susitna Borough,2022-05-02,2022-06-30,182,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,bed1d771907f1da7c2bf479e35be1bf5d3bfd3dfdb36fd491fb271fa,a8b1dde3291e39ae65a34be19d1128daffa663e8,2026-07-16,2026-07-19
AK,David's Bridal,david s bridal,,,,,,,,,,,Anchorage,2023-04-14,2023-06-01,,closure,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,c4a27da6d6a358817f03e8e446e19dc4611bd7a678762209d44decbc,c85d09dbe2aae5c3de331111d133f65cf7e3b86f,2026-07-16,2026-07-19
AK,Technica LLC,technica,,,,,,,,,,,Fort Wainwright and Joint Base Elmendorf-Richardson (JBER),2023-07-05,2023-09-06,101,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,d517789e8b31fc16a4bb731df5a5f65165f0b3a3c3dfbc1b4f0673e4,2648229857caf5cf9a662dffebbcb6d9aac350bc,2026-07-16,2026-07-19
AK,Centerra,centerra,,,,,,,,,,,"Anchorage, Juneau, and Fairbanks",2023-08-10,2023-09-30,27,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,47cacdb643dbd5c0a0a42ab8b95c3a4f94a8edcf4afe240f963b1263,2b6686206071ac9e655f4981f54e2f4a8ef9dd47,2026-07-16,2026-07-19
AK,"American Nursery Services, Inc.",american nursery services,,,,,,,,,,,Anchorage,2023-09-05,2023-12-31,,closure,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,c5f56a9295098089641cb70db50b3babfa2e226de97172ee0e5f45b4,06f9d0d81e7817ce9e32cef909ae6a63e661fa6f,2026-07-16,2026-07-19
AK,"Natural Fiber Welding, Inc.",natural fiber welding,,,,1818289,,exact,,,,,Anchorage,2024-12-10,2025-02-08,1,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,3bf7a65c2973ca06d1163c6288712de3b19d9a46b7e0c2929374f6f0,7b137e4dface9471a2b02aa05896bd0187e69d05,2026-07-16,2026-07-19
AK,"Vigor Alaska, LLC",vigor alaska,,,,,,,,,,,Ketchikan,2025-05-07,2025-07-07,72,closure,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,9099e95e64a90e2308320b4fdff1c72b45166f89d8cfe0e1522cc8fd,a573ea870e98996f03aae562fbdf5359a7e05fd9,2026-07-16,2026-07-19
AK,"Chugach Training & Educational Solutions, LLC (CTESL)",chugach training educational solutions llc ctesl,,,,,,,,,,,Palmer,2025-06-02,2025-06-30,110,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,6bc0d8de12ee739dd65f1c42a614ac631e079cbf7da998435873b38d,80174940577ab91447df758a8b4a72e40b4639f8,2026-07-16,2026-07-19
AK,RNDC Shared Services LLC,rndc shared services,,,,,,,,,,,Juneau,2026-07-06,2026-09-04,160,unknown,,0,0,1,https://jobs.alaska.gov/RR/WARN_notices.htm,9a5dab18a9c3d3a613b122de850a8957721fcdc5c314418240f58466,bba7e18217d8937363b53efaa102ec93424ca25d,2026-07-16,2026-07-19
