state,location,notices,workers,reason
IL,"RT 125 BEARDSTOWN, IL 62618",1,595,no matching place
TN,Cordova,2,592,no matching place
LA,"116 Roy Baker Road LeMoyen, LA 71356",2,591,no matching place
IL,"26453 Centerpoint Dr., bldgs. 7078 & 7094 Elwood, IL 60421",1,589,no matching place
NJ,So. Plainfield,4,589,no matching place
IL,"Multiple Decatur sites 2380 Millikin Parkway Decatur, IL 62526",1,588,no matching place
CO,Gilpin/Jefferson,2,587,no matching place
MI,STATEWIDE,2,586,no matching place
FL,FL 32925,3,585,no place name in the string
IL,"3769 ROUTE 20 EAST FREEPORT, IL 61032",1,585,no matching place
IL,"RTS. I-80 AND 71 HENNEPIN, IL 61327",1,583,no matching place
NJ,Hamilton,8,580,no matching place
WI,"De Pere, Watertown, Beloit, Racine, Kimberly, Kenosha, Monona, Marinette, Sheboygan, Delavan, Rhinelander",1,578,11 distinct places named
NY,Courtland,1,577,no matching place
OR,"Denver, CO",1,577,no matching place
TX,New Caney,6,567,no matching place
IL,"150 N. Riverside Plaza 8th Floor Chicago, IL 60606",2,566,no matching place
IL,"1 Rock Island Arsenal Rock Island, IL 61299-5000",1,565,no matching place
IL,"2768 North Hwy 45 North Metropolis, IL 62960",2,565,no matching place
NY,East Elmhurst,7,558,no matching place
OH,Unknown City/County,7,558,no matching place
WI,"Chippewa Falls, Eau Claire, New Auburn",1,557,2 distinct places named
VA,Richmond & Glen Allen VA,2,553,2 distinct places named
MD,"10100 Reisterstown Road, Owing Mills",1,551,no matching place
IL,"121 NORTH LASALLE CHICAGO, IL 60602",2,550,no matching place
NJ,Cleveland,1,550,no matching place
OH,Springfield of WIA-Rapid,1,550,no matching place
GA,Peachtree Cit,4,547,no matching place
WA,"Bellevue, Kirkland, Redmond, Seattle, Tukwila",1,545,5 distinct places named
PA,Various,7,543,no matching place
WI,"Oconomowoc, Watertown",1,542,2 distinct places named
FL,CHAMPIONSGATE,1,541,no matching place
AZ,Chicago,2,540,no matching place
LA,"2105 HWY 964 St. Francisville, LA 70775",1,539,no matching place
OR,"Lutz, FL",1,539,no matching place
OK,01 - NorthWestRegion,8,538,no matching place
IN,"Albion, Avilla & Franklin",1,535,2 distinct places named
