state,source,notice_year,notices,workers
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2008,2009,1,121
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2010,2009,1,28
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2011,2008,1,90
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2012,2009,1,50
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2013,2009,1,106
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2014,2009,1,12
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2015,2009,1,204
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2016,2009,1,157
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2021,2009,1,11
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2023,2009,1,280
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2025,2009,1,69
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2026,2009,1,60
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2027,2009,1,52
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2028,2009,1,8
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2029,2009,1,60
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2030,2009,1,45
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2031,2009,1,118
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2032,2009,1,0
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2033,2009,1,51
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2034,2009,1,10
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2036,2009,1,188
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2038,2009,1,133
NY,https://web.archive.org/web/20150101000000id_/http://labor.ny.gov/app/warn/details.asp?id=2039,2009,1,32
